id,gender,age,emotion,race
1,男性,28,高兴,亚洲人
2,女性,21,高兴,拉丁裔
3,女性,26,高兴,白人
4,女性,22,高兴,白人
5,女性,34,生气,白人
6,男性,26,高兴,亚洲人
