模型,准确率,召回率,精确率
逻辑回归,0.8097014925373134,0.7027027027027027,0.8125
K近邻,0.8022388059701493,0.6666666666666666,0.8222222222222222
决策树,0.7611940298507462,0.7027027027027027,0.7155963302752294
随机森林,0.7910447761194029,0.7387387387387387,0.7522935779816514
